,car,starting_price,combined_mpg,expert_rating,consumer_rating
98,Certified 2019 Honda Clarity Plug‑in Hybrid Sedan,"$25,901",42 MPG | 110 MPGe,4.7 ,4.4 
99,Certified 2018 Toyota Prius Prime Hatchback,"$26,038",54 MPG | 133 MPGe,4.7 ,4.7 
100,Certified 2017 Acura MDX SUV,"$26,750",23 MPG,4.7 ,4.1 
101,Certified 2016 Volvo XC90 SUV,"$26,800",22 MPG,4.7 ,3.9 
102,Certified 2019 Toyota Prius Prime Hatchback,"$28,750",54 MPG | 133 MPGe,4.7 ,4.7 
103,Certified 2016 Chevrolet Tahoe SUV,"$28,828",18 MPG,4.7 ,4 
104,Certified 2017 Mercedes‑Benz GLC SUV,"$28,976",24 MPG,4.7 ,4 
105,Certified 2017 Honda Civic Type R Hatchback,"$29,044",25 MPG,4.7 ,5 
106,Certified 2016 Lexus RX SUV,"$29,177",22 MPG,4.7 ,4 
107,Certified 2017 Honda Civic Type R Hatchback,"$29,044",25 MPG,4.7 ,5 
108,Certified 2017 Audi S3 Sedan,"$29,412",24 MPG,4.7 ,4.5 
109,Certified 2019 Honda Pilot SUV,"$30,000",21 MPG,4.7 ,3.4 
110,Certified 2017 BMW 5 Series Sedan,"$30,058",22 MPG,4.7 ,5 
111,Certified 2018 Mercedes‑Benz GLC SUV,"$30,752",24 MPG,4.7 ,4 
112,Certified 2017 Acura MDX Sport Hybrid SUV,"$30,950",27 MPG,4.7 ,4.1 
113,Certified 2018 Acura MDX SUV,"$31,050",22 MPG,4.7 ,4.1 
114,Certified 2019 Audi A4 Sedan,"$31,302",27 MPG,4.7 ,4.5 
115,Certified 2016 Audi A7 Sedan,"$31,307",24 MPG,4.7 ,4.7 
116,Used 2019 Genesis G70 Sedan,"$31,600",22 MPG,4.7 ,5 
117,Certified 2018 Honda Civic Type R Hatchback,"$31,826",25 MPG,4.7 ,5 
118,Certified 2016 Mercedes‑Benz Mercedes‑AMG CLA Sedan,"$33,219",26 MPG,4.7 ,4.6 
119,Certified 2019 Honda Civic Type R Hatchback,"$35,652",25 MPG,4.7 ,5 
120,Certified 2019 Volvo XC40 SUV,"$36,024",27 MPG,4.7 ,5 
121,Certified 2018 Audi Q7 SUV,"$36,500",21 MPG,4.7 ,4.5 
122,Certified 2018 Acura MDX Sport Hybrid SUV,"$37,150",27 MPG,4.7 ,4.1 
123,Certified 2017 Audi A7 Sedan,"$37,196",24 MPG,4.7 ,4.7 
124,Certified 2018 Mercedes‑Benz E‑Class Sedan,"$37,548",24 MPG,4.7 ,4.5 
125,Certified 2017 Mercedes‑Benz GLC Coupe SUV,"$37,840",24 MPG,4.7 ,4 
126,Certified 2018 Audi S4 Sedan,"$40,450",24 MPG,4.7 ,5 
127,Certified 2016 Audi S7 Sedan,"$41,400",20 MPG,4.7 ,4.9 
128,Certified 2017 Mercedes‑Benz Mercedes‑AMG GLC SUV,"$41,520",20 MPG,4.7 ,4 
129,Certified 2018 Mercedes‑Benz GLC Coupe SUV,"$41,785",24 MPG,4.7 ,4 
130,Used 2019 Tesla Model 3 Sedan,"$42,549",130 MPGe,4.7 ,4.8 
131,Certified 2017 Porsche 718 Cayman Coupe,"$45,410",24 MPG,4.7 ,4.9 
132,Certified 2017 Mercedes‑Benz Mercedes‑AMG GLC Coupe SUV,"$46,101",20 MPG,4.7 ,4 
133,Certified 2018 Porsche 718 Cayman Coupe,"$47,032",24 MPG,4.7 ,4.9 
134,Certified 2017 Porsche 718 Boxster Convertible,"$47,146",24 MPG,4.7 ,5 
135,Certified 2019 Audi A6 Sedan,"$47,866",25 MPG,4.7 ,5 
136,Certified 2017 Audi S7 Sedan,"$48,765",21 MPG,4.7 ,4.9 
137,Certified 2018 Porsche 718 Boxster Convertible,"$50,150",24 MPG,4.7 ,5 
138,Certified 2018 Mercedes‑Benz Mercedes‑AMG GLC Coupe SUV,"$51,496",20 MPG,4.7 ,4 
139,Certified 2018 Mercedes‑Benz Mercedes‑AMG E‑Class Sedan,"$57,150",21 MPG,4.7 ,4.5 
140,Certified 2019 Mercedes‑Benz Mercedes‑AMG GLC Coupe SUV,"$59,924",21 MPG,4.7 ,4 
141,New 2020 Kia Soul Wagon,"$18,610",27 MPG,4.6 ,5 
142,New 2020 Toyota Corolla Sedan,"$20,555",33 MPG,4.6 ,3.9 
143,New 2020 Honda Civic Sedan,"$20,805",29 MPG,4.6 ,4.4 
144,New 2020 Honda HR‑V SUV,"$21,940",30 MPG,4.6 ,4.3 
145,New 2020 Subaru Crosstrek SUV,"$23,155",25 MPG,4.6 ,4.4 
146,New 2020 Toyota Corolla Hybrid Sedan,"$24,055",52 MPG,4.6 ,3.9 
147,New 2020 Hyundai Sonata Sedan,"$24,575",32 MPG,4.6 ,3.8 
148,New 2020 Toyota Camry Sedan,"$25,380",34 MPG,4.6 ,3.9 
149,New 2020 Subaru Forester SUV,"$25,505",29 MPG,4.6 ,4.4 
150,New 2020 MAZDA CX‑5 SUV,"$26,290",28 MPG,4.6 ,4.5 
151,New 2020 Hyundai Santa Fe SUV,"$27,415",25 MPG,4.6 ,4.9 
152,New 2020 Subaru Outback SUV,"$27,655",29 MPG,4.6 ,4.1 
153,New 2020 Ford Mustang Coupe,"$27,765",23 MPG,4.6 ,4.7 
154,New 2020 Toyota 86 Coupe,"$28,015",24 MPG,4.6 ,5 
155,New 2020 Toyota Camry Hybrid Sedan,"$29,385",52 MPG,4.6 ,3.9 
156,New 2020 Subaru BRZ Coupe,"$29,745",24 MPG,4.6 ,4.8 
157,New 2020 Honda Odyssey Van/Minivan,"$31,910",22 MPG,4.6 ,3.7 
158,New 2020 Acura RDX SUV,"$38,825",24 MPG,4.6 ,4.2 
159,New 2020 BMW 3 Series Sedan,"$41,745",30 MPG,4.6 ,4.6 
160,New 2020 Mercedes‑Benz GLC SUV,"$43,495",24 MPG,4.6 ,4 
161,New 2020 Acura MDX SUV,"$45,525",23 MPG,4.6 ,4.1 
162,New 2020 Volvo XC90 SUV,"$49,345",25 MPG,4.6 ,3.9 
163,New 2019 Ram 1500 Quad Cab Pickup,"$34,535",17 MPG,4.6 ,4.1 
164,New 2019 Audi S3 Sedan,"$45,495",25 MPG,4.6 ,4.5 
